,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha
1295,M(o),90.812,27.907,2019,35.67,4804,0,moraine,0,40.63410900396055
1296,E(o),90.83,27.886,2019,16.34,4845,0,other,0,55.24500474676216
1297,E(o),90.791,27.88,2019,10.66,4807,0,other,0,30.88069059644664
1298,E(o),90.803,27.873,2019,27.12,4453,0,other,0,47.55204791862917
1299,E(o),90.816,27.867,2019,53.98,4135,0,other,0,47.55204791862917
1300,E(o),90.831,27.841,2019,18.14,4568,0,other,0,11.828813667389085
1301,E(o),90.811,27.83,2019,18.02,4367,0,other,0,8.814801674801501
1302,E(c),90.81,27.821,2019,14.45,4613,0,other,0,8.814801674801501
1303,E(o),90.864,27.81,2019,22.79,4112,0,other,0,0.47656177682347434
1304,E(o),90.784,27.79,2019,10.15,4263,0,other,0,1.2710616830368662
1305,E(c),90.811,27.784,2019,10.09,4126,0,other,0,1.2709076006038738
1306,E(c),90.807,27.757,2019,18.25,4181,0,other,0,2.7815481956553665
1307,E(c),90.821,27.748,2019,11.59,4438,0,other,0,2.7815481956553665
1308,E(o),90.96,27.707,2019,11.57,3952,0,other,0,0.47699466879489444
1309,M(o),91.452,28.037,2019,56.24,4737,0,moraine,0,55.731754410875226
1310,M(e),91.511,28.164,2019,11.98,5221,0,moraine,0,50.988338005115324
1311,M(e),91.664,28.143,2019,19.31,5139,0,moraine,0,44.81918465719032
1312,M(e),91.597,28.024,2019,36.52,4804,0,moraine,0,36.543653672902494
1313,E(o),91.676,28.014,2019,14.26,4422,0,other,0,33.769227054090805
1314,E(o),91.96,28.355,2019,20.15,4774,0,other,0,132.39583384684346
1315,E(o),91.942,28.102,2019,117.73,4705,0,other,0,98.69898653076622
1316,E(o),91.939,28.059,2019,240.03,4631,0,other,0,158.40913696917102
1317,E(c),91.45,27.916,2019,13.44,4422,0,other,0,9.601269369190804
1318,E(c),91.449,27.879,2019,10.23,4229,0,other,0,4.603445670776455
