S.No.,Latitude,Longitude,Subbasin,GL type,Area(ha),Elev(m)
393,29.408,82.43,Tila,E(c),19.81,"4,415"
394,29.391,82.394,Tila,E(o),16.79,"3,954"
395,29.387,82.416,Tila,E(o),13.31,"4,447"
396,29.384,82.424,Tila,E(c),46.79,"4,434"
397,29.382,82.41,Tila,E(o),10.19,"4,287"
398,29.309,82.474,Tila,E(o),15.73,"4,081"
399,29.119,82.256,Tila,E(o),13.37,"4,430"
400,29.893,82.514,Mugu,E(o),11.14,"5,031"
401,29.822,82.712,Mugu,M(o),19.68,"5,037"
402,29.798,82.671,Mugu,M(e),13.7,"4,654"
403,29.743,82.705,Mugu,M(o),11.27,"5,346"
404,29.723,82.644,Mugu,M(o),18.86,"4,978"
405,29.696,82.561,Mugu,E(o),11.37,"4,830"
406,29.297,82.705,Bheri,M(e),10.03,"5,003"
407,29.27,82.59,Bheri,M(e),10.04,"4,335"
408,29.249,82.564,Bheri,M(o),29,"4,647"
409,29.194,82.546,Tila,E(o),35.8,"4,693"
410,29.185,82.563,Tila,E(o),16.36,"4,597"
411,28.819,82.867,Bheri,E(o),18.36,"4,429"
412,28.79,82.981,Bheri,E(c),10.6,"4,796"
413,29.108,83.026,Bheri,M(o),12.95,"4,884"
414,29.377,83.39,Mugu,E(o),11.85,"5,175"
415,29.218,83.702,Kali Gandak,M(o),42.49,"5,426"
416,29.201,83.684,Kali Gandak,M(e),22.46,"5,482"
417,29.175,83.748,Kali Gandak,O,17.07,"5,360"
418,29.117,83.738,Kali Gandak,M(o),11.61,"5,517"
419,29.046,83.674,Kali Gandak,M(e),12.14,"5,431"
420,28.993,83.173,Bheri,M(e),15.98,"4,821"
421,28.959,83.187,Bheri,M(e),27.62,"5,071"
422,28.787,83.33,Bheri,M(e),43.57,"4,445"
423,28.886,83.527,Kali Gandak,M(e),30.92,"5,578"
424,28.726,83.89,Marsyangdi,M(e),14.99,"5,103"
425,28.712,83.92,Marsyangdi,E(o),10.97,"4,986"
426,28.691,83.852,Marsyangdi,M(o),340.21,"4,910"
427,28.826,84.15,Marsyangdi,M(e),10.74,"5,406"
428,28.663,84.472,Marsyangdi,M(l),24.93,"4,088"
429,28.657,84.458,Marsyangdi,M(l),10.57,"4,039"
430,28.497,84.256,Marsyangdi,M(e),11.38,"4,987"
431,28.488,84.486,Marsyangdi,M(e),89.44,"4,038"
432,28.596,84.629,Budhi Gandak,M(e),22.25,"3,632"
433,28.372,84.579,Marsyangdi,E(o),11.03,"4,430"
434,28.617,84.912,Budhi Gandak,M(e),10.08,"4,683"
435,28.505,84.802,Budhi Gandak,E(o),21.26,"3,684"
436,28.38,84.78,Budhi Gandak,E(c),16.8,"4,656"
437,28.961,85.084,Trisuli,E(o),17.03,"5,388"
438,28.585,85.022,Budhi Gandak,M(o),11.99,"5,047"
439,28.292,85.17,Trisuli,M(e),20.33,"4,724"
440,28.676,85.41,Trisuli,M(e),21.04,"5,447"
441,28.662,85.475,Bum Chu,M(e),20.42,"5,217"
442,28.644,85.491,Bum Chu,M(e),50.98,"4,985"
443,28.642,85.474,Bum Chu,M(e),33.3,"5,135"
444,28.568,85.457,Trisuli,M(e),23.6,"4,495"
445,28.566,85.464,Trisuli,M(e),16.35,"4,428"
446,28.559,85.333,Trisuli,I(s),12.6,"4,973"
447,28.508,85.494,Trisuli,M(e),26.42,"4,798"
448,28.124,85.469,Trisuli,M(o),14.08,"4,787"
449,28.083,85.413,Trisuli,O,12.59,"4,393"
450,28.08,85.407,Trisuli,O,15.16,"4,327"
451,28.061,85.389,Trisuli,O,16.5,"4,205"
452,28.623,85.51,Bum Chu,M(e),118.78,"5,127"
453,28.616,85.527,Bum Chu,M(e),103.58,"5,113"
454,28.58,85.596,Bum Chu,M(o),26.15,"5,436"
455,28.575,85.583,Bum Chu,M(o),22.13,"5,438"
456,28.573,85.659,Bum Chu,E(o),10.62,"5,238"
457,28.562,85.602,Bum Chu,M(e),129.19,"5,361"
458,28.548,85.616,Bum Chu,E(o),21.83,"5,443"
459,28.532,85.609,Bum Chu,M(e),540.55,"5,352"
460,28.527,85.638,Bum Chu,M(o),31.01,"5,299"
461,28.494,85.636,Bum Chu,M(e),490.68,"5,278"
462,28.485,85.736,Bum Chu,M(e),51.99,"5,335"
463,28.468,85.519,Trisuli,M(e),43.67,"4,445"
464,28.46,85.684,Bum Chu,M(o),18.49,"5,705"
