10y_expansion_rate,5y_expansion_rate,Elevation_m,GLOF,Lake_area_calculated_ha,Lake_type_simplified,Latitude,Longitude,Year_final,__source__,glacier_area_ha,glacier_contact,glacier_elev_m,glacier_touch_count,is_supraglacial,lake_area_filled_from_db,nearest_glacier_dist_m,slope_glac_to_lake
8.478009074696327,0.0318610337474353,4706,1,133.18714099835577,moraine,28.087,90.326,2009,pos,3425.334834489212,1,5124.0,3,0,False,0.0,0.0
-2.705120249587774,,4124,1,0.4363043511873737,other,35.93,74.609,2010,pos,4.808953988198107,0,4858.0,0,0,False,25.680641058777628,1.8691122192058216
,,3301,1,0.3630657056100978,other,36.039,74.633,2010,pos,9422.807452033634,1,4177.0,3,0,False,0.0,0.0
-3.9686545860690847,,3997,1,0.7213454621504333,ice,36.546,73.353,2010,pos,80.88699587461582,1,4995.0,3,1,False,0.0,0.0
2.448650270060645,,3466,1,137.08298087576495,other,42.522,74.609,2010,pos,536.1258049091829,1,3985.0,2,0,False,0.0,0.0
0.593227877248421,,3475,1,3.255523555462977,ice,36.342,75.479,2010,pos,53385.61402318674,1,4744.0,4,0,False,0.0,0.0
5.402320116515645,,3269,1,29.47220629789011,ice,42.207,79.846,2010,pos,120846.92560934702,1,4369.0,3,0,False,0.0,0.0
,,2648,1,,other,36.043,74.571,2010,pos,7831.738632457032,1,3325.0,2,0,False,0.0,0.0
-0.0952007759348674,0.0951988937350037,5485,1,46.887034525872494,moraine,27.951,87.985,2010,pos,1387.6835949844196,1,5573.0,1,0,False,0.0,0.0
-1.6087055187957842,,4313,1,0.2899713168023337,other,36.174,71.898,2010,pos,2289.1125398889712,1,4911.0,3,0,False,0.0,0.0
-3.539291389079085,,5684,1,4.819715586937388,moraine,33.019,78.488,2010,pos,1399.0534513109535,1,6053.0,4,0,False,0.0,0.0
21.26139779141528,,3269,1,108.83409737057556,ice,42.207,79.846,2011,pos,120846.92560934702,1,4369.0,3,0,False,0.0,0.0
3.0302306490727133,,5093,1,71.42660876598136,ice,35.411,77.604,2011,pos,137158.2887612841,1,5845.0,4,0,False,0.0,0.0
0.0310350813680306,,5363,1,5.894448782350438,ice,30.267,81.474,2011,pos,3563.976508692848,1,5306.0,4,1,False,0.0,0.0
