,Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,area_t1,area_t2,expansion_ha_peryr
795,795,M(o),84.926,30.04,2019,20.07,5730,0,moraine,0,24.482777557977453,17.646290578597288,24.482777557969275,1.3672973958743975
796,796,M(e),84.624,29.866,2019,49.03,5395,0,moraine,0,76.3328221285334,90.89779987925432,76.3328220732952,-2.9129955611918232
797,797,M(e),84.632,29.856,2019,14.63,5557,0,moraine,0,166.76821051224158,132.33705805328427,166.76821045704565,6.886230480752277
798,798,M(e),84.676,29.845,2019,51.54,5536,0,moraine,0,52.419277034070234,56.46951783514622,52.419277034078206,-0.8100481602136028
799,799,M(e),84.691,29.818,2019,20.93,5471,0,moraine,0,38.10274782924626,19.55551507904519,38.10274782922905,3.7094465500367724
800,800,M(o),84.672,29.751,2019,10.35,5554,0,moraine,0,23.54709162254396,16.134818240014983,23.547091622501718,1.482454676497347
801,801,E(o),85.211,29.728,2019,13.64,5374,0,other,0,10.605274774514418,4.6787957387841885,10.60527477451584,1.1852958071463302
802,802,E(o),85.314,29.74,2019,12.09,5307,0,other,0,9.980247213428768,9.27850991399364,9.980247213424265,0.14034745988612513
803,803,E(o),85.783,29.733,2019,15.71,5384,0,other,0,20.036840236185416,7.016712483322825,20.03684023617685,2.604025550570805
804,804,O,85.88,29.558,2019,56.48,5186,0,other,0,47.413956947771894,41.4774380725931,47.41395694776099,1.1873037750335769
805,805,O,86.422,29.935,2019,10.79,5477,0,other,0,8.949144942018085,6.614584901855314,8.949144942024104,0.466912008033758
806,806,E(o),86.38,29.672,2019,11.06,5512,0,other,0,9.440905116975902,8.504620383426126,9.440905116973106,0.18725694670939602
807,807,O,87.028,29.556,2019,119.59,4729,0,other,0,103.96891770675298,91.08012303366593,103.96891770675198,2.5777589346172105
808,808,E(c),87.108,29.514,2019,11.54,5432,0,other,0,9.221245054536604,7.03314124198842,9.221245054536348,0.4376207625095857
809,809,O,87.428,30.251,2019,20.33,4878,0,other,0,17.91873336154441,15.048693586764944,17.91873336153907,0.5740079549548248
810,810,O,87.697,30.088,2019,19.81,4731,0,other,0,16.083614869184476,13.131029007622576,16.083614869188256,0.590517172313136
811,811,E(o),87.016,29.824,2019,26.33,4954,0,other,0,56.25948256823298,47.843940817195815,56.259482568235576,1.6831083502079522
812,812,E(o),88.62,30.168,2019,50.13,5029,0,other,0,176.1898056935955,37.88616727082,176.1898056935955,27.6607276845551
813,813,E(o),88.627,30.148,2019,213.67,5011,0,other,0,205.69989611334944,37.88616727082,205.6998961133501,33.56274576850602
814,814,E(o),88.618,30.105,2019,26.87,4903,0,other,0,22.761810157311515,21.208122516106943,22.761810157310112,0.3107375282406338
815,815,E(o),89.639,29.899,2019,33.92,5260,0,other,0,29.11474513537984,27.090734576061827,29.114745135389363,0.4048021118655072
816,816,E(o),89.62,29.894,2019,12.12,5460,0,other,0,29.11474513537984,27.090734576061827,29.114745135389363,0.4048021118655072
817,817,E(o),89.544,29.877,2019,12.3,5475,0,other,0,10.589545322654311,9.733034436632234,10.589545322651663,0.1713021772038857
818,818,O,89.534,29.85,2019,25.71,5298,0,other,0,23.365611613928166,20.328043550476416,23.365611613928582,0.6075136126904332
819,819,E(o),89.547,29.835,2019,12.28,5394,0,other,0,23.365611613928166,20.328043550476416,23.365611613928582,0.6075136126904332
820,820,M(e),88.494,28.006,2019,45.02,5023,0,moraine,0,42.25785772836774,39.80003894554163,42.25785772836319,0.4915637565643124
821,821,E(o),88.631,28.059,2019,14.81,4917,0,other,0,11.807440646725995,2.456585449706994,11.807440646723279,1.8701710394032571
822,822,M(e),88.71,28.026,2019,113.46,5148,0,moraine,0,107.0128054570944,106.93356584505088,107.01280545708762,0.015847922407348846
823,823,M(e),88.652,28.014,2019,11.65,5522,0,moraine,0,170.47718262801365,95.7019216741202,170.47718256246694,14.955052177669348
824,824,E(c),88.561,28.014,2019,26.21,5073,0,other,0,39.01187942663542,38.0603547238487,39.01187942657744,0.19030494054574804
825,825,M(e),88.698,28.008,2019,99.32,5209,0,moraine,0,132.4053612095101,113.37514348719965,132.4053612583529,3.8060435542306523
826,826,M(o),88.571,28.007,2019,26.0,4998,0,moraine,0,32.192649899312094,31.47900801443672,32.1926498992553,0.14272837696371637
827,827,M(e),88.713,28.006,2019,119.15,5238,0,moraine,0,132.4053612095101,113.37514348719965,132.4053612583529,3.8060435542306523
828,828,M(e),88.639,28.002,2019,32.04,5424,0,moraine,0,261.1096473835362,95.7019216741202,261.1096472959381,33.08154512436358
829,829,M(o),88.756,28.011,2019,108.12,5094,0,moraine,0,90.14083012106204,81.57854164559969,90.1408301210391,1.7124576950878834
830,830,M(e),88.159,27.92,2019,83.63,5441,0,moraine,0,73.23720189622526,82.13932853693626,73.23720189622921,-1.7804253281414106
831,831,M(o),88.191,27.893,2019,21.27,5496,0,moraine,0,149.97642107882768,96.17479837312953,149.97642107882638,10.760324541139369
832,832,M(e),88.24,27.852,2019,30.59,5190,0,moraine,0,30.72650940299252,16.117532807676938,30.72650940298045,2.9217953190607027
833,833,M(o),88.123,27.563,2019,10.47,4710,0,moraine,0,14.96526016056094,10.746929733936483,14.965260160451715,0.8436660853030464
